(鱼帝)鱼丹_《名家方选》,(鱼帝)鱼丹,《名家方选》,,（鱼帝）鱼（箱根产可用，浸水，去手足爪并眼目，更浸，醋炒9度）10钱，山楂子10钱，白芍10钱，麦芽10钱，白术10钱，青皮10钱，茯苓10钱，使君子10钱，榧实10钱，甘草5分，泽泻3钱。,,白汤送下。,名家方选,山楂 白芍 麦芽 白术 青皮 茯苓 使君子 榧子 甘草 泽泻,疳 雀目
阿艾丸_《医统》卷八十四,阿艾丸,《医统》卷八十四,,白姜（盐、酒或米醋炒）8钱，香附子（童便浸，炒）1两，玄胡索（炒）8钱，真阿胶（炒成珠）1两，艾叶1两（制成炙艾，用糯米糊作饼，瓦上炕干，勿令焦，研为细末）。,,每服30丸，空心盐酒或盐汤任下。,医统,干姜 附子 新疆延胡索 阿胶 艾叶,血崩
阿胶黄连饮_《胎产心法》卷上,阿胶黄连饮,《胎产心法》卷上,黄连阿胶汤,阿胶、黄连、芍药、甘草、枳壳（麸炒）。,,水煎服。1剂痛痢俱减，去枳壳再服。,胎产心法,阿胶 黄连 红药子 甘草 枳壳,痢不止
阿胶黄芩汤_《重订通俗伤寒论》,阿胶黄芩汤,《重订通俗伤寒论》,,陈阿胶3钱，青子芩3钱，甜杏仁2钱，生桑皮2钱，生白芍1钱，生甘草8分，鲜车前草5钱，甘蔗梢5钱。,清润肺燥以坚肠,先用生糯米1两，开水泡取汁出，代水煎药。,重订通俗伤寒论,阿胶 黄芩 杏仁 桑白皮 白芍 甘草 车前草 甘蔗,伤寒 干嗽 色鲜红 水泻 热痛 肚腹痛 涩 痢不止 按之痛甚
阿胶济阴汤_《胎产秘书》卷上,阿胶济阴汤,《胎产秘书》卷上,,阿胶1钱，白术1钱，地黄1钱，白芍1钱，当归1钱，川芎1钱，砂仁（带壳）5分，条芩1钱半，薪艾1钱半，香附8分，炙甘草5分。,,加粘米1撮，水2汤碗，煎至1碗，温服。,胎产秘书,阿胶 白术 干地黄 白芍 当归 川芎 砂仁 黄芩 千年艾 香附 甘草,胎漏 倒经吐衄
阿胶煎丸_《幼幼新书》卷一引《灵苑方》,阿胶煎丸,《幼幼新书》卷一引《灵苑方》,,伏道艾（取叶去梗，捣熟，筛去粗皮，只取艾茸，称取2两，米醋煮1伏时，候干研成膏），阿胶3两（炙），糯米（炒）1两，大附子（炮，去皮脐）1两，枳壳（去瓤，麸炒）1两。,大补益虚损不足 滋助血海,每服30丸，空心温酒送下，午食前再服。,幼幼新书,牡蒿 阿胶 糯米 附子 枳壳,妇人血气 久虚
阿胶酒_方出《证类本草》卷十六引《梅师方》，名见《普济方》卷三四四引《圣惠》,阿胶酒,方出《证类本草》卷十六引《梅师方》，名见《普济方》卷三四四引《圣惠》,阿胶汤,阿胶3两（炙）。,,以酒1升半，煎令消，1服。,太平圣惠方,阿胶,血痢
阿胶散_《产宝诸方》,阿胶散,《产宝诸方》,,干艾半两，赤石脂半两，桂半两，白芷1钱，阿胶1钱。,,每用3钱，水1盏，加生姜半钱，煎至7分服。,产宝诸方,艾叶 赤石脂 白芷 阿胶,
阿胶散_《陈素阉妇科补解》卷三,阿胶散,《陈素阉妇科补解》卷三,,人参、白术、阿胶、当归、川芎、黄耆、白芍、甘草、黄芩、砂仁、广皮、黄连、苍术、香薷、枳壳、葛根、肉蔻、诃子。,补气凉血 止痛安胎,,陈素阉妇科补解,人参 白术 阿胶 当归 川芎 黄芪 白芍 甘草 黄芩 砂仁 陈皮 黄连 苍术 香薷 枳壳 葛根 肉豆蔻 诃子,妊娠 赤白带下 脓血 腹刺痛
阿胶散_《陈素庵妇科补解》卷三,阿胶散,《陈素庵妇科补解》卷三,,扁豆、甘草、黄耆、黄芩、艾、茯苓、芎、归、芍、熟地、白术、阿胶、香附、陈皮、葛根、牡蛎、黑豆。,,,陈素庵妇科补解,扁豆 甘草 黄芪 黄芩 艾叶 茯苓 川芎 熟地黄 白术 阿胶 香附 陈皮 葛根 牡蛎 黑大豆,妊娠 动胎 畏寒 面色黄青 心闷 血下不止 冷汗 自汗 四肢逆冷 喘促
阿胶散_《活人书》卷十九,阿胶散,《活人书》卷十九,阿胶糯米白术汤、阿胶汤、安胎阿胶散,阿胶（炒）、桑寄生、吴白术、人参、白茯苓各等分。,安胎,每服2钱匕，煎糯米饮调下，1日2次。,活人书,阿胶 桑寄生 白术 人参 茯苓,妊娠 外感 动胎 漏血不止 眩晕
阿胶散_《济阴纲目》卷八,阿胶散,《济阴纲目》卷八,,阿胶（蛤粉炒成珠）2两（为末），生地黄半斤（捣取汁）。,,上以清酒3升，搅匀，温热，分3服。,济阴纲目,阿胶 鲜地黄,妊娠 月经过多
阿胶散_《普济方》卷三四二引《保婴方》,阿胶散,《普济方》卷三四二引《保婴方》,,熟地黄（洗，焙干）半两，白芍药半两，川芎半两，黄耆（去皮）半两，阿胶（锉，炒成珠）半两，香附子（炒）半两，当归（去芦，酒洗，焙干）半两，艾叶（炒）半两，甘草（炙）半两。,,上(口父)咀。每服9钱，以水2大盏，加生姜9片，大枣3枚，同煎1大盏，去滓，空心、食前热服。,普济方,熟地黄 白芍 川芎 黄芪 阿胶 附子 当归 艾叶 甘草,妊娠 动胎 心腹疼痛 月经过多
阿胶散_《普济方》卷三四二引《卫生家宝》,阿胶散,《普济方》卷三四二引《卫生家宝》,,阿胶（捣碎，炒令燥）半两，甘草（炙）半两，当归3钱（洗，切，焙），芎?1两。,,每服3钱，水1大盏，煎7分，去滓，空心、食前温服。,普济方,阿胶 甘草 当归 川芎,动胎
阿胶散_《千金翼》卷八,阿胶散,《千金翼》卷八,,阿胶8两（炙），乌贼鱼骨2两，芍药4两，当归1两（1方有桑耳1两）。,,以蜜搜如麦饭，每服方寸匕，食前以葱羹汁送下，日3夜1。,千金翼方,阿胶 海螵蛸 红药子 当归,月经过多
阿胶散_《伤寒总病论》卷六,阿胶散,《伤寒总病论》卷六,,阿胶末1钱。,,竹沥调下。无竹沥，用小麦、竹叶煎汤调下。,伤寒总病论,阿胶,妊娠 伤寒 热甚 动胎
阿胶散_《圣惠》卷八十,阿胶散,《圣惠》卷八十,,阿胶1两（炙令黄燥），芎?1两，艾叶半两（微炒），当归1两（锉，微炒），桂心1两，地榆1两（锉），甘草半两（炙微赤，锉），厚朴3分（去粗皮，涂生姜汁炙令香熟）。,,每服2钱，以水1中盏，加大枣2枚，煎至6分，去滓温服，不拘时候。,太平圣惠方,阿胶 川芎 艾叶 当归 肉桂 地榆 甘草 厚朴,恶露不尽 心腹疼痛 饮食不下
阿胶散_《圣惠》卷七十,阿胶散,《圣惠》卷七十,,阿胶2两（捣碎，炒令黄燥），当归3分，犀角屑3分，黄芩3分，鸡苏叶2分，羚羊角屑3分，桂心2分，麦门冬3分（去心），生干地黄2两，甘草半两（炙微赤，锉）。,,每服4钱，以水1中盏，加淡竹茹1分，生姜半分，煎至6分，去滓温服，不拘时候。,太平圣惠方,阿胶 当归 水牛角 黄芩 水苏 羚羊角 肉桂 麦冬 干地黄 甘草,吐血不止 心神烦热
阿胶散_《圣惠》卷七十九,阿胶散,《圣惠》卷七十九,,阿胶1两（捣碎，炒令黄燥），当归1两（锉，微炒），续断1两，地榆1两（锉），熟干地黄1两，牛膝1两（去苗），红花子1两。,,每服3钱，以伏龙肝1两，浸取水1中盏，煎至6分，去滓食前温服。,太平圣惠方,阿胶 当归 续断 地榆 干地黄 牛膝 红花,崩中下血 月经过多
阿胶散_《圣惠》卷七十七,阿胶散,《圣惠》卷七十七,,阿胶（捣碎，炒令黄燥）1两，芎?1两，当归（锉，微炒）1两，熟干地黄1两，银1斤（以水1斗，煎至5升）。,,每服4钱，以银汁1中盏，煎至6分，去滓温服，不拘时候。,太平圣惠方,阿胶 川芎 当归 干地黄,妊娠 胎上迫心 月经过多
阿胶散_《圣惠》卷七十三,阿胶散,《圣惠》卷七十三,禹余粮散,阿胶1两（捣碎，炒令黄燥），鹿茸2两（去毛，涂酥炙令微黄），禹余粮2两（烧醋淬7遍），牡蛎2两（微锉），当归1两（锉，微炒），白芍药3分，蒲黄1两，乌贼鱼骨1两半（烧灰），赤石脂1两。,,每服2钱，食前以温酒调下。,太平圣惠方,阿胶 鹿茸 禹余粮 牡蛎 当归 白芍 蒲黄 海螵蛸 赤石脂,带下五色 不止
阿胶散_《圣惠》卷七十四,阿胶散,《圣惠》卷七十四,,阿胶（捣碎，炒令黄燥）1两，麦门冬（去心）1两，款冬花1两，贝母（煨微黄）1两，秦艽（去苗）1两，甘草半两（炙微赤，锉）。,,每服3钱，以水1中盏，煎至6分，去滓温服，不拘时候。,太平圣惠方,阿胶 麦冬 款冬花 川贝母 秦艽 甘草,妊娠 胸腹妨闷 两胁微疼 烦渴 咳嗽
阿胶散_《圣惠》卷七十五,阿胶散,《圣惠》卷七十五,,阿胶1两（捣碎，炒令黄燥），木香半两，芎?半两，熟干地黄半两，干姜1分（炮裂，锉），当归半两（锉，微炒），桑寄生半两，桂心半两。,,每服4钱，以水1中盏，煎至6分，去滓温服，不拘时候。,太平圣惠方,阿胶 木香 川芎 干地黄 干姜 当归 桑寄生 肉桂,妊娠 肚腹痛 月经过多 面色黄青
阿胶散_《圣济总录》卷六十八,阿胶散,《圣济总录》卷六十八,,阿胶（炒令燥）1两，白及1两，白芷1两，白蔹1两，黄柏（去粗皮，蜜水浸，炙赤色）1两。,,每服3钱匕，空心、食前糯米粥饮调下，日3次。,圣济总录,阿胶 白及 白芷 白蔹 黄柏,咯血 吐血不止
阿胶散_《圣济总录》卷一六五,阿胶散,《圣济总录》卷一六五,,阿胶（炒令燥）1两半，黄连（去须）1两半，黄柏1两半，芍药1两半，地榆（锉）1两半，甘草（炙，锉）1两半，虎杖（酒浸，炙，锉）1两半，艾叶1两半。,,每服2钱匕，食前米饮调下，1日2次。,圣济总录,阿胶 黄连 黄柏 红药子 地榆 甘草 虎杖 艾叶, 痢赤如血 烦热 渴躁 腹疼
阿胶散_《圣济总录》卷一六一,阿胶散,《圣济总录》卷一六一,,阿胶（炙令燥）1两，牛角腮（烧灰）1两，龙骨（煅）1两。,,每服2钱匕，薄粥饮调下。,圣济总录,阿胶 牛角腮 龙骨,恶露不尽
阿胶散_《圣济总录》卷一五三,阿胶散,《圣济总录》卷一五三,,阿胶（炙燥）半两，柏叶（焙干）半两，当归（去芦头，焙）半两，龙齿（别捣，细研）半两，禹余粮（醋淬，细研）1两。,,每服2钱匕，用米饮调下，早晨，午时各1次。,圣济总录,阿胶 柏叶 当归 龙齿 禹余粮,血伤 带下不止
